2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC04,Doctors who Communicate Well - DMC05,Call Center – Beneficiary Hold Time - DMC06,Pneumonia Vaccine - DMC07,Access to Primary Care Doctor Visits - DMC08,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC09,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC10,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC11,Initiation of Substance Use Disorder Treatment - DMC12,Engagement of Substance Use Disorder Treatment - DMC13,Initiation and Engagement of Substance Use Disorder Treatment Average DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC16,Transitions of Care - Notification of Inpatient Admission - DMC17,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC18,Transitions of Care - Receipt of Discharge Information - DMC19,Physical Functioning Activities of Daily Living - DMC20,Care of Older Adults - Functional Status - DMC21,Kidney Health Evaluation for Patients With Diabetes - DMC22,Improving or Maintaining Physical Health - DMC23,Improving or Maintaining Mental Health - DMC24,Cardiac Rehabiliation - Acheivement - DMC25,Cardiac Rehabiliation - Engagement 1 - DMC26,Cardiac Rehabiliation - Engagement 2 - DMC27,Cardiac Rehabilation - Initiation - DMC28,Colorectal Cancer Screening (Age 45-75) - DMC29,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Initial Opioid Prescribing (IOP-LD) - DMD15,Persistence to Basal Insulin (PST-INS) - DMD16,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
E3014,Pennsylvania Public School Employees Retirement Sy,PSERS HOP PROGRAM,Commonwealth of PA Pub Schools Retirement System,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,58%,28%,11%,13%,13.29%,3.93%,0.06%,6.92%,7.94%,12.76%,71.04%,1.33,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
H0022,Buckeye Health Plan - MyCare Ohio,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,62%,78%,100%,14%,Not enough data available,0:30,60%,92%,3.00%,78%,88%,48%,12%,30%,32%,32%,1%,77%,1%,87%,Plan not required to report measure,36%,72%,83%,4%,7%,5%,5%,55%,3.00%,0:30,100,0:11,98,65%,48%,10%,8%,17.71%,3.13%,0.68%,15.88%,22.15%,15.30%,71.07%,0.57,Not Available,Not Available,Not Available,Not Available,Not Available,20
H0028,Humana,"CHA HMO, INC.",Humana Inc.,49%,65%,86%,26%,Not enough data available,1:59,75%,96%,3.19%,77%,83%,56%,6%,31%,13%,85%,57%,90%,22%,96%,91%,62%,69%,84%,5%,11%,9%,9%,73%,3.19%,1:59,100,0:09,84,63%,27%,6%,8%,10.78%,5.03%,0.29%,8.49%,11.67%,19.43%,63.39%,2.29,19%,22%,19%,Not Available,13%,80
H0029,Allwell,"COORDINATED CARE OF WASHINGTON, INC.",Centene Corporation,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No Data Available,Not Available,Not Available,Not Available,Not Available,Not Available,60
H0034,"Hamaspik, Inc.","HAMASPIK, INC.","Hamaspik of Rockland County, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,0:18,Plan too small to be measured,92%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,14%,8%,67%,5%,Plan too new to be measured,57%,35%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.00%,0:18,100,0:11,80,No data available,No data available,10%,No data available,28.65%,13.07%,0.00%,16.94%,18.07%,21.87%,67.57%,1.02,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0062,Wellcare by Allwell,"SUPERIOR HEALTHPLAN, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Plan too small to be measured,91%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,18%,42%,7%,85%,1%,96%,Plan not required to report measure,31%,72%,74%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,60%,Not enough data available,Not enough data available,101,Not enough data available,91,No data available,No data available,6%,No data available,12.34%,4.11%,0.00%,2.34%,5.84%,16.09%,65.71%,1.97,Not Available,Not Available,Not Available,Not Available,Not Available,60
H0074,Wellcare,"WELLCARE OF MISSISSIPPI, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0:25,54%,94%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,27%,50%,7%,84%,4%,Plan too new to be measured,No data available,24%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,55%,0.00%,0:25,101,1:07,92,59%,38%,0%,No data available,6.75%,2.09%,0.95%,13.04%,10.84%,14.84%,66.67%,8.14,Not Available,Not Available,Not Available,Not Available,Not Available,60
H0088,Wellcare,"WELLCARE HEALTH INSURANCE OF NEW YORK, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0:22,62%,82%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,18%,32%,19%,67%,11%,Plan too small to be measured,Plan not required to report measure,47%,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,42%,0.00%,0:22,100,1:07,96,56%,32%,3%,No data available,No data available,No data available,No data available,8.83%,3.39%,13.53%,61.36%,13.17,Not Available,Not Available,Not Available,Not Available,Not Available,60
H0104,Blue Cross and Blue Shield of Alabama,BLUE CROSS AND BLUE SHIELD OF ALABAMA,BlueCross BlueShield of Alabama,48%,60%,83%,33%,91,0:11,70%,97%,5.00%,69%,76%,29%,2%,15%,14%,88%,78%,92%,29%,94%,Plan not required to report measure,40%,66%,79%,0%,0%,0%,2%,72%,5.00%,0:11,97,0:22,49,48%,22%,10%,21%,14.23%,3.01%,0.16%,5.69%,12.47%,13.50%,68.96%,4.46,8%,2%,21%,Not Available,7%,100
H0107,Blue Cross and Blue Shield of Montana,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,51%,66%,Not enough data available,31%,93,0:29,81%,97%,1.18%,80%,81%,44%,5%,25%,11%,73%,53%,90%,48%,97%,Plan not required to report measure,45%,71%,81%,7%,22%,15%,25%,76%,1.18%,0:29,99,0:15,50,38%,21%,10%,11%,11.61%,4.55%,0.08%,5.72%,8.81%,9.79%,73.54%,6.11,11%,6%,36%,9%,11%,100
